skill
python
javascript
typescript
java
c++
r programming
sql
postgresql
mysql
mongodb
redis
fastapi
flask
django
streamlit
react
node.js
docker
kubernetes
aws
gcp
azure
git
github
linux
bash
rest api
graphql
machine learning
deep learning
nlp
computer vision
transformers
pytorch
tensorflow
scikit-learn
pandas
numpy
faiss
chromadb
langchain
hugging face
embeddings
semantic search
data analysis
data structures
algorithms
system design
ci/cd
airflow
spark
tableau
power bi
excel
agile
scrum
communication
problem solving
leadership
project management
time series
feature engineering
model deployment
mlops
fine tuning
rag
vector database
api design
microservices
testing
